Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
47.74,52,32635.7,186.37,Business-focused transitional solution,Penatown,Male,Cuba,7/19/2016 8:32,1
65.77,34,59785.94,168.34,Cloned explicit middleware,Kingshire,Male,Namibia,2/27/2016 8:52,0
56.39,46,40468.53,253.48,Automated multi-state toolset,North Jenniferburgh,Female,Belgium,4/6/2016 14:16,0
76.64,31,56180.93,207.17,Focused 3rdgeneration pricing structure,Port Calvintown,Female,Croatia,6/21/2016 14:32,0
57.99,34,40763.13,168.34,Cloned explicit middleware,Lake Amy,Male,Namibia,2/8/2016 14:02,0
55.92,42,60514.05,236.87,Multi-layered tangible portal,Robertbury,Female,Madagascar,4/6/2016 11:24,0
70.09,45,59610.81,227.73,Secured 24hour policy,Burgessside,Female,Brazil,4/8/2016 14:35,1
72.23,30,57877.15,244.91,Cross-platform logistical pricing structure,Patriciahaven,Male,Bolivia,5/8/2016 10:25,0
61.22,28,39799.73,212.87,Sharable reciprocal project,New Michael,Male,Barbados,7/8/2016 3:47,0
55.6,35,42993.48,221.18,Optional multi-state hardware,Jacquelineshire,Male,Hong Kong,3/18/2016 13:22,0
59.05,33,43974.49,135.67,Customer-focused fault-tolerant implementation,Chaseshire,Male,Vanuatu,3/24/2016 6:36,1
55.79,22,21644.91,136.21,Function-based context-sensitive secured line,Combsstad,Female,Brazil,7/3/2016 4:11,0
68.01,33,49101.67,204.27,Focused coherent success,South George,Male,Vanuatu,2/6/2016 17:48,1
59.51,40,66574,232.78,Sharable reciprocal project,New Tinamouth,Male,Ghana,3/18/2016 13:00,0
81.32,49,39031.89,195.69,Streamlined homogeneous analyzer,West Brandonton,Male,Netherlands,4/4/2016 20:01,1
63.45,45,59886.58,187.76,Enhanced homogeneous moderator,Michaelmouth,Male,Turkey,2/5/2016 16:50,1
72.19,39,58287.86,225.99,Business-focused real-time toolset,North Regina,Male,Hong Kong,4/7/2016 15:18,0
53.68,37,23936.86,109.29,Phased content-based middleware,Gravesport,Male,Belize,7/8/2016 3:47,0
41.73,28,67301.39,120.49,Down-sized bandwidth-monitored core,Hernandezfort,Female,American Samoa,6/21/2016 14:32,0
82.07,43,32635.7,198.45,Optimized upward-trending productivity,Wilcoxport,Male,Turkey,4/3/2016 21:13,1
43.49,37,23936.86,195.69,Cross-group non-volatile secured line,Browntown,Female,Australia,1/5/2016 16:26,0
48.03,40,63394.41,221.98,Configurable tertiary capability,Youngfort,Female,Albania,7/13/2016 16:12,1
49.42,45,69428.73,252.36,Synchronized systemic hierarchy,Kristinfurt,Female,Qatar,4/6/2016 11:24,0
53.92,28,70492.6,221.79,Managed zero tolerance concept,Lake Michelle,Male,Luxembourg,3/17/2016 5:00,0
73.1,26,56694.12,131.68,Configurable dynamic secured line,Shelbyport,Female,Austria,5/15/2016 13:18,0
54.08,31,56180.93,240.64,Balanced empowering success,Lake David,Male,Croatia,6/2/2016 21:02,0
46.61,50,49957,122.31,Reverse-engineered maximized focus group,Port Katelynview,Female,Bangladesh,4/4/2016 18:36,1
34.3,34,34191.23,187.09,Cloned explicit middleware,Port Robin,Male,Equatorial Guinea,4/5/2016 18:02,1
55.6,39,37334.78,209.91,Networked asymmetric infrastructure,Andrewborough,Male,Mongolia,1/8/2016 9:32,1
82.07,55,57868.44,187.76,Inverse high-level capability,Hubbardmouth,Male,Northern Mariana Islands,4/21/2016 9:30,1
56.39,46,69646.35,198.5,Proactive actuating Graphical User Interface,South Cynthiashire,Male,Ireland,6/12/2016 21:21,0
54.97,29,53431.35,217.1,Centralized 24hour synergy,East Anthony,Male,Uganda,1/14/2016 0:23,0
75.55,39,48335.2,258.62,Cloned object-oriented benchmark,Westshire,Female,Micronesia,5/8/2016 22:24,1
44.78,25,50506.44,241.03,Pre-emptive next generation Internet solution,Hansenmouth,Male,United States Minor Outlying Islands,4/28/2016 2:55,0
73.19,33,74535.94,120.75,Function-based incremental standardization,West Connor,Female,Cameroon,1/14/2016 9:27,0
54.88,50,39616,226.79,Focused coherent success,Wilcoxport,Male,Iran,4/3/2016 21:13,1
55.6,36,18368.57,115.26,Total cohesive moratorium,Williammouth,Male,Myanmar,1/3/2016 16:01,1
43.49,37,66187.58,190.17,Polarized analyzing concept,North Randy,Female,Saint Vincent and the Grenadines,2/10/2016 19:20,1
74.59,42,60514.05,238.58,Innovative interactive portal,Lake Jennifer,Female,Czech Republic,4/6/2016 11:24,1
43.49,37,53058.91,230.52,Centralized logistical secured line,Garciamouth,Female,Croatia,2/12/2016 8:46,0
50.08,29,69718.19,120.06,Programmable uniform website,West Shannon,Female,United Arab Emirates,1/5/2016 16:26,0
50.08,40,57330.43,140.46,User-centric attitude-oriented adapter,West Gregburgh,Female,Cambodia,6/11/2016 9:37,1
50.19,36,32549.95,141.52,Ameliorated actuating workforce,Youngfort,Male,Indonesia,1/3/2016 16:01,1
73.93,33,43974.49,196.77,Multi-tiered foreground Graphic Interface,Silvaton,Female,Brazil,5/12/2016 21:32,1
39.3,29,53431.35,158.56,Mandatory coherent groupware,Christinetown,Female,Chile,1/14/2016 0:23,0
55.6,54,53188.69,182.2,Virtual scalable secured line,West James,Female,South Africa,1/16/2016 23:37,1
74.63,27,66815.54,214.42,Monitored dynamic instruction set,Johnstad,Female,Estonia,7/18/2016 1:36,0
83.97,41,57846.68,227.63,Fully-configurable foreground solution,West Leahton,Male,Turkey,1/8/2016 9:32,0
68.01,33,56782.18,227.37,Synchronized multi-tasking ability,Novaktown,Male,Australia,7/14/2016 22:43,1
56.39,46,58966.22,253.48,Programmable uniform website,Shelbyport,Male,Australia,1/18/2016 2:51,0
80.3,37,23936.86,181.02,Cloned object-oriented benchmark,Westshire,Female,Moldova,5/8/2016 22:24,1
61.22,36,50628.31,115.26,Robust web-enabled attitude,Lake Patrick,Male,Netherlands Antilles,6/20/2016 8:22,0
47.74,32,69481.85,178.92,Business-focused transitional solution,Lisafort,Male,Svalbard & Jan Mayen Islands,1/9/2016 3:45,0
88.04,38,64564.07,206.98,Customizable homogeneous contingency,Stewartbury,Male,Western Sahara,1/15/2016 19:40,1
59.59,34,59785.94,203.44,Function-based incremental standardization,New Tinamouth,Female,Turkmenistan,2/11/2016 20:45,1
40.04,34,59785.94,160.03,Cloned explicit middleware,New Tinamouth,Female,Brunei Darussalam,4/27/2016 4:28,1
33.33,25,50671.6,105.86,Up-sized maximized model,Lake Rhondaburgh,Male,Hong Kong,7/8/2016 17:14,0
89.05,49,64564.07,187.76,Reactive composite project,Michaelmouth,Male,Tanzania,6/24/2016 8:42,1
84,36,70592.81,141.52,Proactive bandwidth-monitored policy,Hatfieldshire,Male,Kazakhstan,6/20/2016 8:22,0
52.68,32,69481.85,118.27,Stand-alone radical throughput,North Daniel,Male,Saudi Arabia,4/6/2016 21:20,1
75.84,45,70053.27,157.04,Function-based context-sensitive secured line,Burgessside,Male,Turkey,7/17/2016 1:13,1
81.59,45,45716.48,174.88,Secured 24hour policy,Wintersfort,Female,Brazil,6/30/2016 0:19,1
59.05,50,43974.49,123.13,Function-based context-sensitive secured line,Burgessside,Female,Palau,6/3/2016 3:36,1
86.06,35,51119.93,143.79,Total cohesive moratorium,Kyleborough,Male,Moldova,3/4/2016 10:13,1
41.73,28,71222.4,204.79,Polarized bifurcated array,Rickymouth,Female,Albania,3/20/2016 2:44,0
40.47,35,25603.93,236.87,Optional multi-state hardware,Wrightburgh,Female,Ukraine,7/18/2016 1:36,0
61.84,38,57868.44,170.13,Profit-focused dedicated utilization,Stewartbury,Female,Lao People's Democratic Republic,1/15/2016 19:40,1
59.51,30,57877.15,219.94,Synchronized systemic hierarchy,Kristinfurt,Female,Qatar,6/29/2016 10:50,0
79.91,30,57877.15,111.94,De-engineered attitude-oriented projection,Michaelland,Male,Bolivia,3/18/2016 13:00,0
39.3,29,53431.35,158.56,Vision-oriented attitude-oriented Internet solution,West Ricardo,Female,Uganda,2/3/2016 19:12,1
44.4,32,55424.24,172.83,Assimilated fault-tolerant hub,Kristinfurt,Female,Kuwait,4/28/2016 22:54,0
54.43,37,53058.91,258.62,Vision-oriented attitude-oriented Internet solution,Westshire,Female,Uganda,6/20/2016 14:20,1
61.22,45,60315.19,137.24,Enhanced homogeneous moderator,Wintersfort,Male,Switzerland,7/10/2016 17:24,1
59.59,33,36752.24,115.35,Synergistic stable infrastructure,Youngfort,Female,Greece,5/12/2016 21:32,1
79.6,23,62784.85,146.8,Team-oriented executive core,Patriciahaven,Female,Czech Republic,1/14/2016 14:00,1
37,32,55424.24,219.94,Focused upward-trending core,Hernandezside,Female,Bahamas,4/28/2016 22:54,0
55.6,35,54286.1,236.87,Multi-channeled attitude-oriented toolset,Hannaport,Female,Mayotte,6/20/2016 14:20,1
40.04,23,25739.09,172.81,Centralized logistical secured line,Patriciahaven,Female,Gabon,3/20/2016 7:12,0
64.75,25,50506.44,176.28,Customizable multi-tasking website,West Aprilport,Female,Lao People's Democratic Republic,4/28/2016 2:55,0
51.56,45,74903.41,124.67,Assimilated multi-state paradigm,Wintersfort,Female,Switzerland,3/5/2016 12:03,1
88.04,44,50723.67,120.63,Future-proofed fresh-thinking conglomeration,Port Jodi,Female,Congo,3/1/2016 22:06,0
70.58,28,72948.76,230.52,Intuitive exuding service-desk,Westshire,Female,Chile,1/13/2016 20:38,1
81.22,29,56113.37,216.49,Front-line heuristic data-warehouse,Johnstad,Female,Montenegro,1/12/2016 3:28,0
79.54,25,50671.6,241.03,Integrated interactive support,Joshuaburgh,Male,Korea,3/11/2016 6:49,0
42.04,37,67132.46,201.58,Realigned global initiative,Lake James,Female,Burundi,1/8/2016 22:47,0
82.07,41,57846.68,126.39,Robust uniform framework,West Lisa,Female,Bulgaria,2/27/2016 15:04,1
44.33,39,38067.08,124.44,Configurable logistical Graphical User Interface,North Randy,Female,Serbia,3/7/2016 20:02,0
55.6,24,57691.95,182.2,Triple-buffered regional toolset,Whiteport,Male,Somalia,7/12/2016 10:56,0
65.59,39,59457.52,222.25,Multi-channeled scalable moratorium,Port Melissaberg,Male,Sri Lanka,1/3/2016 16:01,0
57.99,49,45632.51,168.34,Up-sized bi-directional infrastructure,Patriciahaven,Male,Bahamas,3/11/2016 0:05,0
52.68,35,25603.93,236.87,Programmable asymmetric data-warehouse,North Johnside,Female,Hong Kong,7/18/2016 1:36,0
50.08,40,73882.91,132.63,Synergized coherent interface,Port Christopherborough,Male,Honduras,6/20/2016 8:22,0
65.07,34,59785.94,160.03,Cloned explicit middleware,Kingshire,Female,Turkmenistan,4/5/2016 18:02,1
80.3,52,33951.63,130.86,Devolved regional moderator,South Jaimeview,Male,Cuba,6/16/2016 2:01,1
70.44,34,59785.94,160.03,Cloned explicit middleware,New Tinamouth,Female,Brunei Darussalam,2/20/2016 9:54,1
70.39,27,39193.45,203.9,Virtual impactful algorithm,Jordantown,Male,Estonia,3/23/2016 21:06,0
72.23,40,41232.89,120.37,Vision-oriented real-time framework,Sandraville,Female,Cameroon,5/2/2016 7:00,0
50.08,36,29398.61,140.46,Multi-layered fresh-thinking neural-net,West Gregburgh,Female,Montenegro,7/6/2016 5:34,0
42.04,37,53058.91,181.02,Profound dynamic attitude,East Tammie,Female,Belgium,2/10/2016 19:20,0
79.52,38,64564.07,122.04,Synergized clear-thinking protocol,Stewartbury,Male,Western Sahara,2/13/2016 7:53,1
78.7,32,55424.24,172.83,Focused upward-trending core,Hernandezside,Female,Hungary,6/9/2016 21:43,1
51.24,36,29398.61,141.52,Up-sized incremental encryption,Kimberlymouth,Female,Uganda,3/12/2016 7:18,1
79.52,41,57846.68,259.76,Face-to-face even-keeled website,North Johnside,Female,Hong Kong,7/5/2016 20:16,0
70.39,54,73049.3,117.33,Front-line bandwidth-monitored capacity,West Melaniefurt,Male,Libyan Arab Jamahiriya,1/1/2016 5:31,1
66.08,33,77988.71,215.18,Stand-alone well-modulated product,West Connor,Female,Indonesia,6/17/2016 20:18,0
61.22,31,56180.93,207.17,Focused 3rdgeneration pricing structure,Port Calvintown,Female,Singapore,7/11/2016 9:32,0
67.56,28,71222.4,204.79,Intuitive exuding service-desk,Jamiefort,Female,Croatia,5/6/2016 21:07,0
83.71,38,57868.44,130.83,Customizable homogeneous contingency,Stewartbury,Male,Western Sahara,2/13/2016 7:53,1
72.23,33,57868.44,191.82,Integrated leadingedge frame,Taylorhaven,Male,Sri Lanka,2/6/2016 17:48,1
80.3,49,45632.51,113.8,Streamlined homogeneous analyzer,West Brandonton,Female,Eritrea,4/27/2016 4:28,1
86.06,35,25603.93,109.07,Optional multi-state hardware,Hansenmouth,Female,Albania,6/29/2016 2:48,1
70.58,31,58235.21,207.17,Programmable uniform website,New Michael,Female,Turks and Caicos Islands,2/26/2016 22:46,0
54.97,33,55984.89,204.27,Compatible composite project,Novaktown,Male,Afghanistan,7/14/2016 22:43,1
55.6,39,38067.08,258.62,Vision-oriented attitude-oriented Internet solution,Elizabethport,Female,Mayotte,2/12/2016 8:46,1
79.54,25,50506.44,241.03,Focused 24hour implementation,South Corey,Male,Georgia,3/18/2016 13:00,0
43.49,37,23936.86,181.02,Profound dynamic attitude,Lake James,Female,Burundi,1/8/2016 22:47,0
56.39,40,62669.59,117.3,Pre-emptive content-based frame,Lake Jessicaville,Male,Ethiopia,3/23/2016 6:00,1
76.77,36,29398.61,222.25,Intuitive exuding service-desk,Garciatown,Female,Chad,2/26/2016 19:48,0
40.47,27,14548.06,190.17,User-friendly upward-trending intranet,New Lucasburgh,Female,Poland,2/10/2016 19:20,1
78.36,34,40183.75,160.03,Cloned explicit middleware,Kingshire,Female,Turkmenistan,3/11/2016 0:05,0
43.49,37,61172.07,181.02,Cross-group non-volatile secured line,New Brandy,Male,Moldova,3/23/2016 21:06,0
40.04,34,20592.99,168.34,Cloned explicit middleware,Lake Amy,Female,Turkmenistan,3/11/2016 0:05,0
59.36,38,39031.89,195.69,Cross-group non-volatile secured line,West Brandonton,Female,Burundi,4/4/2016 20:01,0
40.04,23,40135.06,222.87,Centralized logistical secured line,Patriciahaven,Female,Czech Republic,1/14/2016 14:00,1
41.73,28,51501.38,120.49,Organized global flexibility,New Brandy,Male,Luxembourg,4/8/2016 22:40,0
66.12,28,59448.44,230.52,Intuitive exuding service-desk,Westshire,Female,Libyan Arab Jamahiriya,6/20/2016 14:20,1
84.73,36,76003.47,140.46,Total 5thgeneration standardization,West Ericfurt,Female,Guinea,5/13/2016 14:12,1
43.6,39,75044.35,236.87,Business-focused real-time toolset,North Johnside,Female,Saint Pierre and Miquelon,5/12/2016 4:35,0
42.04,37,53058.91,129.31,Centralized logistical secured line,West Brandonton,Female,Australia,6/5/2016 7:54,1
51.24,36,61610.05,124.44,Up-sized incremental encryption,New Rebecca,Female,El Salvador,1/3/2016 16:01,1
71.84,39,37334.78,190.75,Managed zero tolerance concept,Edwardsport,Male,American Samoa,7/8/2016 3:47,0
84.73,26,60997.84,131.68,Decentralized client-driven data-warehouse,Shelbyport,Female,Albania,5/24/2016 13:30,1
43.49,37,75180.2,181.02,Vision-oriented attitude-oriented Internet solution,Lake James,Female,Australia,2/10/2016 19:20,1
70.92,31,27262.51,217.37,User-friendly bandwidth-monitored attitude,Jamiefort,Female,Czech Republic,5/6/2016 21:07,1
80.3,37,67132.46,177.55,Vision-oriented attitude-oriented Internet solution,Garciatown,Female,Burundi,7/13/2016 21:31,0
52.68,32,55424.24,178.92,Front-line fresh-thinking open system,Phelpschester,Male,French Southern Territories,1/18/2016 2:51,0
69.77,35,66541.05,226.54,Optional multi-state hardware,Port Cassie,Male,Hong Kong,6/29/2016 13:35,0
80.47,33,52736.33,113.12,Adaptive contextually-based methodology,South George,Male,Vanuatu,3/24/2016 6:36,0
72.55,31,66348.95,124.44,Exclusive disintermediate task-force,New Michael,Female,Mexico,6/29/2016 13:35,0
51.87,49,39031.89,195.69,Managed client-server access,New Thomas,Male,Afghanistan,4/5/2016 18:02,1
81.98,22,63430.33,136.21,Customizable modular Internet solution,West Ericaport,Female,United States of America,1/29/2016 7:14,0
40.17,26,63430.33,140.46,Progressive clear-thinking open architecture,West Aprilport,Female,United Arab Emirates,3/8/2016 18:00,0
65.65,41,39799.73,156.48,De-engineered attitude-oriented projection,Johnstad,Female,Qatar,1/5/2016 20:58,0
56.16,33,43974.49,196.77,Expanded modular application,Youngfort,Female,Hungary,2/27/2016 20:20,1
47.74,40,73882.91,221.98,Synergized coherent interface,South Cynthiashire,Male,Honduras,6/20/2016 8:22,0
78.79,36,73882.91,214.33,Front-line bandwidth-monitored capacity,Hatfieldshire,Male,Senegal,6/20/2016 8:22,0
51.56,27,14548.06,193.29,Virtual impactful algorithm,East Maureen,Male,Dominican Republic,3/19/2016 11:09,0
56.39,19,58966.22,163,Persistent homogeneous framework,South George,Male,Sri Lanka,2/3/2016 15:15,0
82.07,35,50723.67,259.76,Multi-layered fresh-thinking neural-net,East Carlos,Female,Angola,4/1/2016 16:21,0
43.49,37,23936.86,109.29,Multi-channeled scalable moratorium,New Brandy,Male,Libyan Arab Jamahiriya,6/20/2016 14:20,1
56.16,26,53336.76,131.68,Synergized coherent interface,East Kevinbury,Male,Madagascar,1/8/2016 19:38,0
41.73,28,32252.38,217.37,Sharable reciprocal project,Jamiefort,Female,Gabon,5/4/2016 12:06,0
59.51,32,55424.24,172.83,Cross-platform logistical pricing structure,Reyesfurt,Male,Bolivia,5/8/2016 10:25,0
78.7,46,33951.63,221.98,Front-line system-worthy flexibility,Angelhaven,Male,Switzerland,5/15/2016 18:44,1
47.74,36,50628.31,126.39,Managed zero tolerance concept,East Maureen,Male,Turkey,5/31/2016 23:42,1
55.6,35,73889.99,225.58,Robust uniform framework,Port Cassie,Male,French Southern Territories,1/26/2016 2:47,1
75.15,33,46868.53,204.02,Focused coherent success,New Taylorburgh,Male,Vanuatu,3/2/2016 4:02,0
82.79,35,73889.99,226.54,Polarized modular function,Williamport,Male,Moldova,2/11/2016 16:45,1
49.21,30,58677.69,172.83,Synchronized systemic hierarchy,Kristinfurt,Female,Venezuela,5/8/2016 10:25,0
56.39,19,40468.53,193.29,Configurable tertiary capability,East Brittanyville,Female,Estonia,2/28/2016 23:10,1
79.52,25,50671.6,241.03,Reactive demand-driven strategy,Palmerside,Female,Micronesia,6/10/2016 0:35,1
75.71,51,41547.62,111.94,Extended context-sensitive monitoring,South Adamhaven,Male,Saint Lucia,5/8/2016 10:25,0
83.71,44,64564.07,187.76,Exclusive even-keeled moratorium,Stewartbury,Female,Norway,4/21/2016 19:56,1
47.48,27,66815.54,120.75,Front-line bandwidth-monitored capacity,Johnstad,Female,Ukraine,5/21/2016 1:36,0
86.06,32,55424.24,178.92,Business-focused transitional solution,Lisafort,Male,Ghana,3/31/2016 20:55,0
33.33,45,74903.41,174.88,Secured 24hour policy,Greerport,Female,Taiwan,3/5/2016 12:03,1
81.98,22,52340.1,128.62,Open-source stable paradigm,Phillipsbury,Female,Samoa,7/5/2016 22:33,0
68.88,42,60514.05,236.87,Innovative interactive portal,Hubbardmouth,Female,Czech Republic,4/6/2016 11:24,1
55.6,35,42993.48,221.18,Total cohesive moratorium,Karenmouth,Male,Mayotte,3/18/2016 13:22,1
84.98,24,52252.91,178.92,Business-focused transitional solution,Lisafort,Male,Algeria,3/18/2016 13:22,0
56.39,60,69646.35,218.61,Programmable uniform website,Carterland,Female,Belgium,3/16/2016 20:19,1
85.84,38,70005.51,197.93,Advanced modular Local Area Network,Sharpberg,Female,French Polynesia,5/19/2016 14:30,1
88.04,41,64828,236.87,User-friendly grid-enabled analyzer,Hubbardmouth,Female,Cuba,5/19/2016 14:30,1
59.22,40,57594.7,244.91,Visionary maximized process improvement,South Walter,Male,Bolivia,3/18/2016 13:00,1
43.49,27,39193.45,131.29,Configurable tertiary capability,South Jeanneport,Male,Zimbabwe,3/23/2016 21:06,0
65.65,30,58677.69,219.94,Synchronized systemic hierarchy,Kristinfurt,Female,Qatar,1/5/2016 20:58,0
50.63,31,61067.58,236.87,Optional multi-state hardware,Austinland,Male,Hong Kong,7/4/2016 23:17,0
40.47,40,38067.08,140.46,Multi-layered user-facing paradigm,Port Sherrystad,Female,El Salvador,2/17/2016 20:22,1
40.17,25,59886.58,165.52,Team-oriented zero-defect initiative,Edwardsport,Male,Korea,3/11/2016 6:49,0
75.42,30,57877.15,111.94,Business-focused transitional solution,Reyesfurt,Male,Bolivia,5/8/2016 10:25,0
76.58,33,44174.25,120.75,Focused coherent success,Anthonyfurt,Male,Myanmar,6/7/2016 1:29,0
41.73,28,71222.4,204.79,Monitored context-sensitive initiative,East Kevinbury,Female,Zambia,5/30/2016 18:08,0
76.81,28,71222.4,217.37,Reverse-engineered background Graphic Interface,West Joseph,Female,Australia,5/4/2016 12:06,1
75.42,26,31265.75,140.83,Sharable reciprocal project,Ericksonmouth,Male,Bolivia,5/8/2016 10:25,0
88.04,44,48335.2,187.76,Up-sized executive moderator,Port Jodi,Female,Angola,5/15/2016 13:18,0
65.59,47,39031.89,195.69,Organic logistical adapter,West Brandonton,Male,Netherlands,3/22/2016 6:41,1
88.04,38,70582.55,206.98,Face-to-face mission-critical definition,Stewartbury,Male,Finland,4/4/2016 22:00,0
40.47,29,56113.37,112.72,Digitized zero-defect implementation,East Brittanyville,Female,Brazil,6/3/2016 1:14,0
73.72,36,32549.95,109.07,Grass-roots solution-oriented conglomeration,Youngfort,Male,French Polynesia,4/27/2016 4:28,1
80.99,26,44248.52,221.98,Visionary asymmetric encryption,North Jessicaville,Male,Madagascar,2/28/2016 23:54,0
46.61,41,55121.65,126.39,Synergistic reciprocal attitude,Hubbardmouth,Female,Honduras,5/27/2016 8:53,1
